Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ProAcc_Suite,Chrome 88.0.4324.182,,,2021-02-22 12:12:29,2021-02-22 12:15:54,3m - 25.361s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Consultant/Tc_ProgressMonitorConsultant_PostConversion,Chrome 88.0.4324.182,,,2021-02-22 12:12:31,2021-02-22 12:15:54,3m - 23.572s,PASSED
runWithCucumberRunner(phase_runner.ProgressMonitor_Consultant_PostCon_Runner),Chrome 88.0.4324.182,,,2021-02-22 12:12:32,2021-02-22 12:15:54,3m - 22.911s,PASSED
