Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ProAcc_Suite,Chrome 88.0.4324.182,,,2021-03-02 23:35:13,2021-03-03 00:12:49,37m - 36.119s,FAILED
,,,,,,,
Test Cases/Tc_ProAcc_Login/Login,Chrome 88.0.4324.182,,,2021-03-02 23:35:15,2021-03-02 23:35:41,25.973s,PASSED
runWithCucumberRunner(testRunner.Login_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:35:15,2021-03-02 23:35:41,25.448s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Customer,Chrome 88.0.4324.182,,,2021-03-02 23:35:41,2021-03-02 23:35:56,15.070s,PASSED
runWithCucumberRunner(testRunner.Customer_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:35:41,2021-03-02 23:35:56,14.653s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_User,Chrome 88.0.4324.182,,,2021-03-02 23:35:56,2021-03-02 23:37:28,1m - 32.342s,PASSED
runWithCucumberRunner(testRunner.Users_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:35:56,2021-03-02 23:37:28,1m - 31.932s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Projects,Chrome 88.0.4324.182,,,2021-03-02 23:37:28,2021-03-02 23:37:52,23.872s,PASSED
runWithCucumberRunner(testRunner.Project_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:37:28,2021-03-02 23:37:52,23.432s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Instance,Chrome 88.0.4324.182,,,2021-03-02 23:37:52,2021-03-02 23:38:00,8.383s,PASSED
runWithCucumberRunner(testRunner.Instance_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:37:52,2021-03-02 23:38:00,7.965s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Roles,Chrome 88.0.4324.182,,,2021-03-02 23:38:00,2021-03-02 23:38:12,11.770s,PASSED
runWithCucumberRunner(testRunner.Role_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:38:01,2021-03-02 23:38:12,11.327s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_PmTask,Chrome 88.0.4324.182,,,2021-03-02 23:38:12,2021-03-02 23:38:24,12.064s,PASSED
runWithCucumberRunner(testRunner.PmTask_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:38:13,2021-03-02 23:38:24,11.580s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Activity,Chrome 88.0.4324.182,,,2021-03-02 23:38:24,2021-03-02 23:39:30,1m - 6.334s,PASSED
runWithCucumberRunner(testRunner.Activity_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:38:25,2021-03-02 23:39:30,1m - 5.811s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_PM/Tc_PmTaskMonitor,Chrome 88.0.4324.182,,,2021-03-02 23:39:30,2021-03-02 23:40:21,50.660s,PASSED
