Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ProAcc_Suite,Chrome 88.0.4324.182,,,2021-03-01 23:24:32,2021-03-01 23:56:04,31m - 31.949s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Login/Login,Chrome 88.0.4324.182,,,2021-03-01 23:24:35,2021-03-01 23:25:08,33.072s,PASSED
runWithCucumberRunner(testRunner.Login_Runner),Chrome 88.0.4324.182,,,2021-03-01 23:24:36,2021-03-01 23:25:08,32.201s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Customer,Chrome 88.0.4324.182,,,2021-03-01 23:25:08,2021-03-01 23:25:33,24.986s,PASSED
runWithCucumberRunner(testRunner.Customer_Runner),Chrome 88.0.4324.182,,,2021-03-01 23:25:09,2021-03-01 23:25:33,24.324s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_User,Chrome 88.0.4324.182,,,2021-03-01 23:25:33,2021-03-01 23:27:13,1m - 40.135s,PASSED
runWithCucumberRunner(testRunner.Users_Runner),Chrome 88.0.4324.182,,,2021-03-01 23:25:34,2021-03-01 23:27:13,1m - 39.479s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Projects,Chrome 88.0.4324.182,,,2021-03-01 23:27:13,2021-03-01 23:27:39,26.046s,PASSED
runWithCucumberRunner(testRunner.Project_Runner),Chrome 88.0.4324.182,,,2021-03-01 23:27:14,2021-03-01 23:27:39,25.254s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Instance,Chrome 88.0.4324.182,,,2021-03-01 23:27:39,2021-03-01 23:27:49,9.699s,PASSED
runWithCucumberRunner(testRunner.Instance_Runner),Chrome 88.0.4324.182,,,2021-03-01 23:27:40,2021-03-01 23:27:49,9.079s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Admin/Tc_Roles,Chrome 88.0.4324.182,,,2021-03-01 23:27:49,2021-03-01 23:28:03,13.834s,PASSED
runWithCucumberRunner(testRunner.Role_Runner),Chrome 88.0.4324.182,,,2021-03-01 23:27:50,2021-03-01 23:28:03,13.120s,PASSED
,,,,,,,
